run_id,timestamp,model,params,n_origins,horizon,parent,notes,vn1,wape,bias_pct,mae
3891f3c0fc,2026-08-28T20:49:34+00:00,moving_average,"{""window"": 13}",4,13,,13-week moving average,0.6080503340444312,0.539902680733888,-0.0681476533105432,9.315269774607035
13811e908e,2026-08-28T20:49:41+00:00,moving_average,"{""window"": 13, ""zero_dead_weeks"": 26}",4,13,,MA13 with dead-series zeroing (26w),0.6080503340444312,0.539902680733888,-0.0681476533105432,9.315269774607035
c87a16ebf7,2026-08-28T20:49:48+00:00,moving_average,"{""window"": 8}",4,13,,8-week moving average,0.5879627956769183,0.5485922410395986,-0.0393705546373197,9.465196050876646
2a69e4f986,2026-08-28T20:49:55+00:00,naive_last,{},4,13,,repeat last week,0.5830374386003312,0.5312560947996522,-0.0517813438006789,9.16608496134172
e663fe200e,2026-08-28T20:50:02+00:00,seasonal_naive,"{""season"": 52}",4,13,,52-week seasonal naive,1.0210873218837608,0.7649571288923233,-0.2561301929914376,13.198271236502816
09fdb04e06,2026-08-28T20:50:08+00:00,zero,{},4,13,,floor baseline,2.0,1.0,-1.0,17.253609042920143
7a52b16fe3,2026-08-28T21:16:20+00:00,segment_router,"{""default"": {""name"": ""naive_last""}, ""routes"": {""smooth"": {""name"": ""moving_average"", ""params"": {""window"": 13}}}}",4,13,,"Cycle 1A: smooth->MA13, else naive_last (memo 2026-08-28, predicted pooled ~0.545)",0.5852784623647996,0.5127421830814392,-0.0725362792833604,8.846653166700536
accafab14a,2026-08-28T21:16:27+00:00,seasonal_uplift_naive,"{""alpha"": 0.5, ""clip_low"": 0.5, ""clip_high"": 2.0}",4,13,,"Cycle 1C: naive re-anchored by damped client week-of-year uplift (predicted pooled 0.56-0.57, Oct-origin bias fix)",0.6955989145978801,0.5424626646844889,-0.1531362499133912,9.359438736846856
2c050a9d24,2026-08-28T21:30:09+00:00,bias_scaled,"{""base"": {""name"": ""segment_router"", ""params"": {""default"": {""name"": ""naive_last""}, ""routes"": {""smooth"": {""name"": ""moving_average"", ""params"": {""window"": 13}}}}}, ""holdout_weeks"": 13, ""alpha"": 0.5, ""clip_low"": 0.85, ""clip_high"": 1.2}",4,13,,Cycle 2A: trailing-ratio debias on cycle-1 router (predicted 0.555-0.575),0.5642102841920092,0.5387012478507435,-0.0255090363412657,9.294540721349954
7548b6e864,2026-08-28T21:32:31+00:00,global_lgbm,"{""n_anchors"": 24, ""lgb_params"": {""n_estimators"": 300, ""learning_rate"": 0.08, ""num_leaves"": 127, ""min_child_samples"": 50, ""tweedie_variance_power"": 1.2}}",4,13,,"Cycle 2C: global LightGBM Tweedie, lags/rolls/lifecycle/price/woy (predicted 0.48-0.54)",0.5622230039834015,0.5541693244687453,-0.0080536795146561,9.561420867962893
4248b74828,2026-08-28T22:14:49+00:00,chronos,"{""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""quantile"": 0.5, ""point"": ""quantile"", ""device"": ""cpu""}",4,13,,"Cycle 3A (Stage 1): Chronos-Bolt base zero-shot, median quantile (memo predicted pooled 0.58-0.68, smooth 0.50-0.56)",0.5877570330934409,0.513369240599906,-0.0743877924935349,8.857472171971583
e8a11552ec,2026-08-28T22:32:18+00:00,timesfm,"{""checkpoint"": ""google/timesfm-2.5-200m-pytorch"", ""batch_size"": 128, ""max_context"": 512, ""max_horizon"": 64}",4,13,,Cycle 3B (Stage 1): TimesFM 2.5 200M zero-shot point forecast (memo predicted pooled 0.58-0.70; checkpoint swapped from 2.0-500m per memo's packaging clause - installed timesfm 2.0.2 only exposes the 2.5 API),0.651203267102744,0.46115723236442,-0.190046034738324,7.956626594530783
